"nim","formatif","uts","uas"
1114091001,76,60,82
1114091002,100,85,52
1114091003,74,93,98
1114091004,70,82,93
1114091005,99,71,94
1114091006,96,56,63
1114091007,78,51,77
1114091008,99,75,51
1114091009,82,85,52
1114091010,92,99,97
1114091011,85,71,91
1114091012,80,63,56
1114091013,89,52,96
1114091014,76,54,80
1114091015,88,62,56
1114091016,79,95,53
1114091017,94,69,98
1114091018,79,91,79
1114091019,80,58,78
1114091020,95,64,100
1114091021,77,72,93
1114091022,94,99,58
1114091023,100,50,97
1114091024,71,81,61
1114091025,94,78,94
1114091026,80,63,70
1114091027,80,77,83
1114091028,100,62,72
1114091029,93,78,56
1114091030,92,60,93
1114091031,74,69,63
1114091032,86,83,84
1114091033,84,57,59
1114091034,93,77,100
1114091035,94,68,57
1114091036,90,57,71
1114091037,70,69,89
1114091038,99,74,82
1114091039,87,80,55
1114091040,87,91,61
1114091041,97,59,66
1114091042,97,50,76
1114091043,79,64,77
1114091044,100,70,71
1114091045,90,85,97
1114091046,83,95,79
1114091047,94,72,73
1114091048,83,51,72
1114091049,88,93,61
1114091050,86,84,88
1114091051,71,98,97
1114091052,94,92,91
1114091053,70,67,95
1114091054,77,61,94
1114091055,81,68,63
1114091056,74,86,80
1114091057,76,72,53
1114091058,95,100,78
1114091059,94,59,93
1114091060,94,92,53
1114091061,89,67,64
1114091062,75,95,90
1114091063,91,54,100
1114091064,70,89,82
1114091065,97,58,55
1114091066,92,93,76
1114091067,89,95,51
1114091068,74,81,58
1114091069,76,72,80
1114091070,100,71,97
1114091071,100,54,96
1114091072,93,73,80
1114091073,94,61,54
1114091074,100,68,84
1114091075,99,86,75
1114091076,72,99,53
1114091077,80,63,57
1114091078,74,75,85
1114091079,77,60,83
1114091080,100,50,93
1114091081,95,76,50
1114091082,79,62,92
1114091083,71,55,89
1114091084,96,85,98
1114091085,78,58,55
1114091086,77,78,69
1114091087,100,97,63
1114091088,97,93,99
1114091089,82,85,90
1114091090,70,71,70
1114091091,89,83,67
1114091092,75,64,59
1114091093,76,75,61
1114091094,88,96,81
1114091095,75,68,99
1114091096,98,90,54
1114091097,71,100,62
1114091098,81,55,95
1114091099,90,51,57
1114091100,87,92,97
1114091101,90,71,77
1114091102,77,81,89
1114091103,72,82,79
1114091104,95,96,98
1114091105,87,70,69
1114091106,71,95,98
1114091107,89,61,74
1114091108,79,61,83
1114091109,84,53,55
1114091110,78,90,69
1114091111,76,92,78
1114091112,95,72,53
1114091113,83,77,67
1114091114,76,59,89
1114091115,87,58,82
1114091116,90,98,80
1114091117,96,88,53
1114091118,99,80,84
1114091119,96,95,63
1114091120,98,54,77
1114091121,96,50,65
1114091122,73,55,51
1114091123,89,96,76
1114091124,83,58,88
1114091125,89,87,81
1114091126,89,96,96
1114091127,72,96,60
1114091128,90,75,90
1114091129,80,89,64
1114091130,77,54,95
1114091131,100,87,58
1114091132,88,64,80
1114091133,98,75,62
1114091134,75,81,64
1114091135,71,82,97
1114091136,100,55,62
1114091137,71,83,91
1114091138,73,87,67
1114091139,95,86,82
1114091140,75,55,71
1114091141,79,50,70
1114091142,84,66,99
1114091143,77,50,78
1114091144,92,96,87
1114091145,90,84,84
1114091146,76,69,89
1114091147,92,75,72
1114091148,70,95,69
1114091149,73,96,86
1114091150,77,76,74
1114091151,79,93,56
1114091152,79,78,87
1114091153,88,79,62
1114091154,97,85,86
1114091155,72,66,50
1114091156,84,74,80
1114091157,82,63,94
1114091158,97,53,59
1114091159,96,60,50
1114091160,76,89,87
1114091161,97,69,84
1114091162,89,84,100
1114091163,79,95,71
1114091164,90,70,71
1114091165,100,92,72
1114091166,98,69,65
1114091167,79,52,73
1114091168,99,54,71
1114091169,78,58,59
1114091170,84,74,55
1114091171,75,55,77
1114091172,84,78,95
1114091173,80,78,95
1114091174,89,62,78
1114091175,82,63,96
1114091176,91,64,85
1114091177,84,61,87
1114091178,81,69,100
1114091179,80,82,70
1114091180,84,73,98
1114091181,75,50,80
1114091182,97,64,52
1114091183,71,75,61
1114091184,82,85,89
1114091185,82,51,57
1114091186,76,52,67
1114091187,85,66,52
1114091188,73,57,50
1114091189,79,51,73
1114091190,71,100,94
1114091191,93,85,84
1114091192,77,100,55
1114091193,82,59,83
1114091194,75,52,61
1114091195,92,72,67
1114091196,75,87,58
1114091197,95,59,63
1114091198,92,98,86
1114091199,83,50,67
1114091200,74,62,69
1114091201,80,82,82
1114091202,78,99,51
1114091203,94,54,62
1114091204,87,95,53
1114091205,95,88,77
1114091206,77,90,58
1114091207,100,86,89
1114091208,85,54,100
1114091209,73,87,56
1114091210,77,68,57
1114091211,90,50,97
1114091212,75,77,69
1114091213,97,66,94
1114091214,87,72,86
1114091215,95,97,75
1114091216,99,65,98
1114091217,96,59,68
1114091218,87,59,98
1114091219,99,89,65
1114091220,94,50,77
1114091221,94,63,91
1114091222,92,51,58
1114091223,83,80,83
1114091224,80,77,51
1114091225,99,95,74
1114091226,98,90,83
1114091227,89,72,87
1114091228,72,68,75
1114091229,95,95,92
1114091230,75,61,89
1114091231,89,50,92
1114091232,99,54,100
1114091233,96,88,97
1114091234,93,87,78
1114091235,72,72,97
1114091236,92,79,97
1114091237,74,88,70
1114091238,80,79,52
1114091239,80,85,59
1114091240,86,63,82
1114091241,92,58,69
1114091242,74,59,71
1114091243,87,69,82
1114091244,100,80,58
1114091245,99,68,53
1114091246,77,96,84
1114091247,96,78,66
1114091248,84,86,90
1114091249,86,71,97
1114091250,87,64,94
1114091251,97,69,53
1114091252,84,96,73
1114091253,77,62,79
1114091254,81,89,75
1114091255,90,60,79
1114091256,84,53,72
1114091257,79,52,87
1114091258,73,72,55
1114091259,94,81,77
1114091260,85,70,76
1114091261,94,85,73
1114091262,75,77,85
1114091263,91,54,100
1114091264,70,59,62
1114091265,100,95,54
1114091266,71,53,100
1114091267,79,73,86
1114091268,75,100,77
1114091269,99,54,81
1114091270,80,71,90
1114091271,79,57,53
1114091272,89,53,57
1114091273,76,97,96
1114091274,92,57,55
1114091275,96,68,100
1114091276,72,57,58
1114091277,99,58,83
1114091278,87,83,80
1114091279,90,64,50
1114091280,77,98,63
1114091281,79,85,93
1114091282,97,88,77
1114091283,76,61,79
1114091284,89,67,88
1114091285,83,57,91
1114091286,78,94,79
1114091287,79,99,91
1114091288,88,55,82
1114091289,97,75,58
1114091290,92,100,90
1114091291,75,68,75
1114091292,97,56,92
1114091293,82,94,61
1114091294,92,80,88
1114091295,88,51,92
1114091296,93,100,59
1114091297,79,76,57
1114091298,76,67,66
1114091299,80,84,83
1114091300,90,95,76
1114091301,75,54,97
1114091302,75,68,88
1114091303,89,69,69
1114091304,74,71,74
1114091305,88,81,85
1114091306,80,55,63
1114091307,75,78,51
1114091308,72,82,67
1114091309,98,77,87
1114091310,74,82,92
1114091311,80,98,58
1114091312,77,82,71
1114091313,85,94,62
1114091314,74,59,94
1114091315,92,50,90
1114091316,90,59,51
1114091317,76,92,95
1114091318,98,50,80
1114091319,96,50,60
1114091320,88,96,61
1114091321,92,51,74
1114091322,83,61,64
1114091323,88,60,61
1114091324,89,92,67
1114091325,77,64,63
1114091326,74,59,69
1114091327,72,57,66
1114091328,89,92,78
1114091329,80,67,85
1114091330,79,60,70
1114091331,85,61,96
1114091332,78,83,96
1114091333,90,92,52
1114091334,92,78,85
1114091335,80,99,91
1114091336,72,96,99
1114091337,91,92,50
1114091338,99,59,88
1114091339,97,91,98
1114091340,86,94,100
1114091341,73,69,76
1114091342,76,50,50
1114091343,88,90,74
1114091344,83,70,83
1114091345,99,99,97
1114091346,79,92,90
1114091347,88,77,89
1114091348,74,92,96
1114091349,85,92,52
1114091350,74,61,56
1114091351,84,79,52
