tahun,x1,x2,y
2016-01-01,1.75,6.1,719
2016-02-01,1.75,6.2,704
2016-03-01,1.75,6.2,822
2016-04-01,1.75,5.9,876
2016-05-01,1.75,6.1,866
2016-06-01,1.75,6.1,884
2016-07-01,1.75,6.1,949
2016-08-01,1.75,6.2,971
2016-09-01,1.75,6.1,958
2016-10-01,1.75,5.8,943
2016-11-01,1.75,5.9,965
2016-12-01,2.00,6.0,1047
2017-01-01,2.00,5.9,1075
2017-02-01,2.00,5.7,1130
2017-03-01,2.25,5.6,1167
2017-04-01,2.25,5.5,1159
2017-05-01,2.25,5.5,1195
2017-06-01,2.50,5.5,1234
2017-07-01,2.50,5.6,1254
2017-08-01,2.50,5.4,1256
2017-09-01,2.50,5.3,1293
2017-10-01,2.50,5.3,1357
2017-11-01,2.50,5.3,1394
2017-12-01,2.75,5.3,1464

